SKU,Item Name,Catalog Page,Imprint Area,Product Description,Price Includes,Product Size,Shipping Weight (lbs),Shipping Quantity,Shipping Dimensions (inch),FOB,Additional Info,Available Colors,Product Categories,Related Products,Search Keywords
2000,Ultra Cotton - 100% Cotton T-Shirt,243,Silkscreen full front – 12” x 12” Silkscreen left chest – 4” x 4”,"&bull; 6.1-ounce, 100% cotton)
&bull; 50/50 cotton/poly (Dark Heather, Safety Pink, Safety Green, Safety Orange, Heathered Cardinal, Heathered Indigo, Heathered Navy, Heathered Sapphire)
&bull;99/1 cotton/poly (Ash)
&bull;90/10 cotton/poly (Sports Grey, Antique Cherry Red, Antique Irish Green, Antique Royal)
&bull;Seamless double-needle 7/8"" collar
&bull;Double-needle sleeves and hem
&bull;Taped neck and shoulders",,,43,144,18L x 23W x 19H,63935,,"Cornsilk,White,Natural,Ash Gray,Sport Gray,Daisy,Vegas Gold,Gold,Honey,Safety Orange,Tangerine,Orange,Texas Orange,Sand,Tan,Prairie Dust,Chestnut,Dark Chocolate,Rusty Bronze,Maroon,Red,Cherry Red,Antique Cherry Red,Cardinal Red,Heather Cardinal,Light Pink,Azalea,Heliconia,Safety Pink,Orchid,Jade Dome,Galapagos Blue,Sapphire,Heather Sapphire,Iris,Indigo Blue,Heather Indigo,Stone Blue,Sky,Light Blue,Carolina Blue,Royal,Antique Royal,Metro Blue,Blue Dusk,Navy,Heather Navy,Mint Green,Pistachio,Safety Green,Kiwi,Lime,Irish Green,Antique Irish Green,Kelly Green,Forest Green,Olive,Military Green,Ice Gray,Charcoal,Dark Heather,Black,Purple",T-Shirts,,
18600,Heavy Blend™ Full-Zip Hooded Sweatshirt,243,Silkscreen left chest – 4” x 4”,"
&bull; 8-ounce, 50/50 cotton/poly pill-resistant air jet yarn
&bull; Double-needle stitching
&bull; Unlined hood with dyed-to-match drawcord
&bull; YKK metal zipper
&bull; 1x1 rib knit cuffs and waistband with spandex
&bull; Front pouch pockets
",,,43,144,18L x 23W x 19H,63935,,"Dark Heather Gray,Dark Chocolate,Red,Carolina Blue,Navy,Black,Forest Green,Light Pink,Maroon,White,Ash Gray,Royal,Sports Gray",T-Shirts,,
