slug,display_name
black,"Black"
white,"White"
red202,"Burgundy - PMS 202C"
green356,"Green,Kelly - PMS 356C"
purple268,"Purple - PMS 268C"
blue281,Blue,"Navy - PMS 281C"
copper876,"Copper - PMS 876C"
green320,"Teal - PMS 320C"
red186,"Red - PMS 186C"
process_blue,"Blue, Process"
gold123,"Gold, Athletic - PMS 123C"
jute,"Jute"
red032,"Red, Warm - PMS 032C*"
reflex_blue,"Blue, Reflex"
gold873,"Gold, Metallic - PMS 873C"
orange151,"Orange - PMS 151C"
silver877,"Silver, Metallic - PMS 877C"
blue286,"Blue, Royal - PMS 286C"
gray429,"Gray - PMS 429C"
pink211,"Pink - PMS 211C"
brown476,"Brown - PMS 476C"
green3435,"Green, Forest - PMS 3435C"
pink806,"Pink, Fluorescent"
yellow115,"Yellow - PMS 115C"
