imprint_slug,charge_type,range1,range2,range3,range4,range5,price1,price2,price3,price4,price5
silk-screen,SETUP,0,0,0,0,0,44,0,0,0,0
silk-screen,RUN,(1..49),(50..149),(150..499),500+,0,0.79,0.63,0.55,0.39,0
embroider,SETUP,0,0,0,0,0,44,0,0,0,0
embroider,RUN,(1..49),(50..149),(150..499),500+,0,2.32,2.07,1.83,1.59,0
transfer,SETUP,0,0,0,0,0,44,0,0,0,0
transfer,RUN,(1..49),(50..149),(150..499),500+,0,0.79,0.63,0.55,0.39,0
deboss,SETUP,0,0,0,0,0,60,0,0,0,0
deboss,RUN,(1..49),(50..149),(150..499),500+,0,0.79,0.63,0.55,0.39,0
pad-print,SETUP,0,0,0,0,0,44,0,0,0,0
pad-print,RUN,(1..49),(50..149),(150..499),500+,0,0.28,0.03,0.20,0.20,0
colorprint,SETUP,0,0,0,0,0,44,0,0,0,0
colorprint,RUN,(1..49),(50..149),(150..499),500+,0,0.28,0.03,0.20,0.20,0
photografixx,SETUP,0,0,0,0,0,76,0,0,0,0
photografixx,RUN,(1..49),(50..149),(150..499),500+,0,2.39,1.43,1.11,0.87,0
